"dgp","L","m","kappa","seed","available","cond","delivered","avail_top","avail_rest","frontier","interior","width","groups"
"affine",50,15,0.666666666666667,50001,0.96,1,0.96,0.6,1,1,1,0.0420149583572704,1
"affine",50,15,0.666666666666667,50002,0.98,0.836734693877551,0.82,0.8,1,0.866666666666667,0.823529411764706,0.0519682487909299,1
"affine",50,15,0.666666666666667,50003,0.96,1,0.96,0.6,1,1,1,0.0502918902848171,1
"affine",50,15,0.666666666666667,50004,0.98,0.979591836734694,0.96,0.8,1,1,0.96875,0.0529906499869094,1
"affine",50,15,0.666666666666667,50005,0.96,1,0.96,0.6,1,1,1,0.0497500092015218,1
"affine",50,15,0.666666666666667,50006,0.96,0.895833333333333,0.86,0.6,1,1,0.838709677419355,0.0438636362070366,0.5
"affine",50,15,0.666666666666667,50007,0.96,1,0.96,0.6,1,1,1,0.0892354881781283,1
"affine",50,15,0.666666666666667,50008,0.96,1,0.96,0.6,1,1,1,0.0853263501017792,1
"affine",50,15,0.666666666666667,50009,0.98,1,0.98,0.8,1,1,1,0.0748779181116026,1
"affine",50,15,0.666666666666667,50010,0.98,1,0.98,0.8,1,1,1,0.078354286108384,1
"affine",50,15,0.666666666666667,50011,0.96,1,0.96,0.6,1,1,1,0.0699920702377016,1
"affine",50,15,0.666666666666667,50012,0.98,0.979591836734694,0.96,0.8,1,1,0.966666666666667,0.0430464734599139,1
"affine",50,15,0.666666666666667,50013,0.96,0.958333333333333,0.92,0.6,1,0.875,1,0.0627638286301744,1
"affine",50,15,0.666666666666667,50014,0.98,0.857142857142857,0.84,0.8,1,0.785714285714286,0.885714285714286,0.0607795437344577,0.5
"affine",50,15,0.666666666666667,50015,0.98,0.979591836734694,0.96,0.8,1,1,0.967741935483871,0.0516255972040008,0.5
"affine",50,15,0.666666666666667,50016,0.98,1,0.98,0.8,1,1,1,0.0592280175820624,1
"affine",50,15,0.666666666666667,50017,0.96,1,0.96,0.6,1,1,1,0.103491553814834,1
"affine",50,15,0.666666666666667,50018,0.96,1,0.96,0.6,1,1,1,0.0833838286096731,1
"affine",50,15,0.666666666666667,50019,0.96,1,0.96,0.6,1,1,1,0.0558254584774735,1
"affine",50,15,0.666666666666667,50020,0.98,1,0.98,0.8,1,1,1,0.0859964717011177,1
"affine",50,15,0.666666666666667,50021,0.96,1,0.96,0.6,1,1,1,0.0616091866862521,1
"affine",50,15,0.666666666666667,50022,0.98,1,0.98,0.8,1,1,1,0.068284377670655,1
"affine",50,15,0.666666666666667,50023,0.98,1,0.98,0.8,1,1,1,0.0586557331923234,1
"affine",50,15,0.666666666666667,50024,0.98,0.979591836734694,0.96,0.8,1,1,0.962962962962963,0.0403878053203723,1
"affine",50,15,0.666666666666667,50025,0.96,1,0.96,0.6,1,1,1,0.0660452110410918,0.5
"affine",50,15,0.666666666666667,50026,0.98,1,0.98,0.8,1,1,1,0.0758328247030166,1
"affine",50,15,0.666666666666667,50027,0.96,1,0.96,0.6,1,1,1,0.043585142110715,1
"affine",50,15,0.666666666666667,50028,0.98,1,0.98,0.8,1,1,1,0.0700632957498779,1
"affine",50,15,0.666666666666667,50029,0.98,1,0.98,0.8,1,1,1,0.0461236636427489,1
"affine",50,15,0.666666666666667,50030,0.98,0.938775510204082,0.92,0.8,1,1,0.896551724137931,0.0514791891601756,1
"affine",50,15,0.666666666666667,50031,0.96,1,0.96,0.6,1,1,1,0.101920609331734,1
"affine",50,15,0.666666666666667,50032,0.98,1,0.98,0.8,1,1,1,0.0723881349732285,1
"affine",50,15,0.666666666666667,50033,0.98,0.897959183673469,0.88,0.8,1,1,0.84375,0.0430042252292917,0.5
"affine",50,15,0.666666666666667,50034,0.98,0.979591836734694,0.96,0.8,1,0.9,1,0.0591674379506738,1
"affine",50,15,0.666666666666667,50035,0.98,0.959183673469388,0.94,0.8,1,1,0.944444444444444,0.0563937733118477,1
"affine",50,15,0.666666666666667,50036,0.98,1,0.98,0.8,1,1,1,0.0618770036351401,1
"affine",50,15,0.666666666666667,50037,0.98,1,0.98,0.8,1,1,1,0.0543650931005186,1
"affine",50,15,0.666666666666667,50038,0.98,0.877551020408163,0.86,0.8,1,0.866666666666667,0.882352941176471,0.0495876981289808,1
"affine",50,15,0.666666666666667,50039,0.96,0.979166666666667,0.94,0.6,1,1,0.958333333333333,0.0555768046896934,1
"affine",50,15,0.666666666666667,50040,0.98,0.979591836734694,0.96,0.8,1,1,0.972222222222222,0.0670569731380161,1
"affine",50,15,0.666666666666667,50041,0.98,1,0.98,0.8,1,1,1,0.0509960889740875,1
"affine",50,15,0.666666666666667,50042,0.98,0.979591836734694,0.96,0.8,1,1,0.970588235294118,0.0585180811348529,1
"affine",50,15,0.666666666666667,50043,0.98,0.857142857142857,0.84,0.8,1,0.833333333333333,0.864864864864865,0.0556757229994563,1
"affine",50,15,0.666666666666667,50044,0.96,0.958333333333333,0.92,0.6,1,1,0.923076923076923,0.0418994986084892,1
