"dgp","L","m","kappa","reps","available","available_se","avail_top","avail_rest","coverage_cond","coverage_cond_se","coverage_delivered","coverage_delivered_se","coverage_frontier","coverage_interior","mean_median_width","coverage_group_means"
"affine",50,15,0.666666666666667,200,0.9732,0.000671606489234515,0.732,1,0.965252976190476,0.0049888595381545,0.9393,0.00481909414119589,0.978073017797476,0.959571900250481,0.061537729938537,0.95
"affine",100,16,0.666666666666667,200,0.96555,0.000399103895743941,0.6555,1,0.989085565879906,0.00248357639927324,0.955,0.00241228014073551,0.994518254558295,0.987026167255987,0.0442235762461595,0.9925
"affine",100,25,0.5,200,0.9807,0.000288036150718279,0.807,1,0.989963691193441,0.00237988597190974,0.97085,0.00233906898542838,0.995301373372562,0.987884399386932,0.0401923171610422,0.995
"affine",100,25,0.666666666666667,200,0.9807,0.000288036150718279,0.807,1,0.983830722542063,0.00340059750311316,0.96485,0.00335352323541261,0.991157562299418,0.980980487628661,0.031900663271239,0.9775
"affine",100,25,1,200,0.9807,0.000288036150718279,0.807,1,0.938625121401263,0.00710317805391488,0.92055,0.00698929457767144,0.953322124628699,0.932877663522245,0.0200961585805211,0.825
"affine",100,40,0.666666666666667,200,0.99015,8.6166252765093e-05,0.9015,1,0.94275303030303,0.00672356085813834,0.93345,0.00665163202099406,0.952574732735643,0.939058704029679,0.0211369915269239,0.9075
"curved",50,15,0.666666666666667,200,0.9727,0.000682553585431155,0.727,1,0.928337585034014,0.00688553100115415,0.903,0.00672914608514155,0.952675232146594,0.918709435988973,0.0812011786953388,0.9475
"curved",100,16,0.666666666666667,200,0.9657,0.000456719788080307,0.657,1,0.966039836336054,0.00478787549880707,0.9329,0.00464064953866412,0.979736404731493,0.9605014769543,0.0575641454242396,0.9775
"curved",100,25,0.5,200,0.9805,0.000281328506630978,0.805,1,0.961110547936763,0.00502172623188956,0.9424,0.00495621025588125,0.976550311751114,0.954986998674394,0.0583982165396832,0.985
"curved",100,25,0.666666666666667,200,0.9805,0.000281328506630978,0.805,1,0.922851707693387,0.00724302635089454,0.9049,0.00712980508871141,0.946243392535231,0.913453163846747,0.0463506951840799,0.9175
"curved",100,25,1,200,0.9805,0.000281328506630978,0.805,1,0.773427234686439,0.0108139850329244,0.75835,0.0106031135798849,0.826421939340985,0.751917166433265,0.0291991082698416,0.5125
"curved",100,40,0.666666666666667,200,0.99005,0.000112027903918093,0.9005,1,0.837896103896104,0.00955641949096992,0.82955,0.00945906215139321,0.87192498169675,0.823585924068303,0.0359703901648689,0.7275
